draw,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,weighted_MAE_m,skill_vs_frozen,final_level_m
50,1.154748159468256,2.055581118383398,0.7794554871153858,-0.0002885572721978549,0.14519769762209067,0.7123226732492444,1552.4994081180378
51,1.2088358300377902,2.0491208577124467,0.8131241290379526,-0.000266699581458594,0.23940174762396785,0.5256780520365218,1552.8194711204944
52,1.2350643287039567,2.1495141751952103,0.7839819905923776,-0.00028111820681597506,0.15340380105748247,0.6960640828032858,1552.5401279334442
53,1.4034226479415075,2.176897800999821,0.8250640659154438,-0.00025940277810025767,0.48753309941454454,0.0340603119815015,1553.25371964303
54,1.1560150308397021,2.1196354198723153,0.7303118442191381,-0.0002429170258339584,0.17592910356556343,0.6514351464227481,1552.2704764886023
55,1.280875469037122,2.077952078085912,0.690545993439287,-0.00027069963544582406,0.2785768289275037,0.4480612382081317,1552.8900395048788
56,1.166818398263951,2.4050810366840514,0.6832520193371692,-0.00024017500104100503,0.6423063053549106,-0.272588780027204,1551.2797583556332
57,1.2694718546763963,2.4484368826782776,0.7031225253926262,-0.0002414902486144471,0.46345252032732,0.08177068708988033,1551.602741035699
58,1.2199386633495666,2.130615903285636,0.7912782280159195,-0.00024238729260600138,0.1597141988377275,0.683561416480851,1552.58470176697
59,1.3087226955530757,2.061596280760079,0.8106928168816386,-0.0002582915598978814,0.4481152190237421,0.11215817883970058,1553.2204198721543
60,1.1970436049997426,2.2581723907780904,0.734968476056125,-0.0002591665083539409,0.3000972818740568,0.40542319039112606,1551.9618868083637
61,1.3050747934562654,2.3410519467703126,0.7005745124190524,-0.0002651978597171846,0.22001479288794284,0.5640890420428059,1552.1043577779649
62,1.3706604816391734,2.3375709770319775,0.7766333594422724,-0.0002716356464285846,0.15691080633720692,0.6891157225999597,1552.4866804627625
63,1.1763640724012243,2.2721261547446043,0.8091004150085275,-0.0002780714997607296,0.33365216478272,0.3389415644928776,1551.890799203471
64,1.3185285879097455,2.3536705758009693,0.694979278121654,-0.0002674715662033713,0.21573491772977516,0.5725686740513876,1552.1111757499773
65,1.3588106910192876,2.391770793522138,0.8179655347707271,-0.00028475294654717326,0.16211590313305835,0.6788029672585716,1552.2827950259684
66,1.1739163382151891,2.3607246764986134,0.74326016426721,-0.0002556661152257782,0.5182442918956639,-0.026787166311791788,1551.5190075328862
67,1.219539851767561,2.4879055776018117,0.7640884431916917,-0.0002721218206570792,0.6245042834071454,-0.2373179860093777,1551.28842792668
68,1.180761346882171,2.224241894272737,0.728840805310502,-0.00026441905402841727,0.286988954123603,0.4313944609221375,1551.995408730012
69,1.2018461402744849,2.4627928237187877,0.7580101651220928,-0.00028054126370274235,0.6311593488642689,-0.2505035355835834,1551.2822983671476
70,1.402223061673436,2.405746190933483,0.740976271055866,-0.00028009375924538545,0.15510421150171896,0.6926950932188216,1552.340235146554
