date,evap_reference_mm,EQUILIBRIUM_OPEN_WATER_PROXY__RAW,EQUILIBRIUM_OPEN_WATER_PROXY__SCALE,EQUILIBRIUM_OPEN_WATER_PROXY__AFFINE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__RAW,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__SCALE,PRIESTLEY_TAYLOR_OPEN_WATER_PROXY__AFFINE,PM_REFERENCE_DEMAND_PROXY__RAW,PM_REFERENCE_DEMAND_PROXY__SCALE,PM_REFERENCE_DEMAND_PROXY__AFFINE,RADIATION_ENERGY_PROXY__RAW,RADIATION_ENERGY_PROXY__SCALE,RADIATION_ENERGY_PROXY__AFFINE,AERO_VPD_WIND_INDEX__RAW,AERO_VPD_WIND_INDEX__SCALE,AERO_VPD_WIND_INDEX__AFFINE,TRANSPARENT_COMBINATION_PT_PLUS_AERO
2006-12-03,3.620411876368041,4.088006858702895,3.270104046173415,3.3493639786305813,5.150888641965647,3.2701040461734148,3.3493639786305813,3.5193003143918413,3.4501406654685494,3.476338366365488,5.895521483775048,3.24893021368589,3.3232638979993485,1.0159777906048912,4.058685371438776,3.4528223446976627,3.3493639786305742
2006-12-04,3.9513536207602136,3.9249769139731194,3.139692111865305,3.2586718727216666,4.94547091160613,3.1396921118653047,3.2586718727216666,3.431112679726549,3.3636860530826818,3.4210587219424666,5.766863802181624,3.1780289660011816,3.2713683088468515,1.1476545163860123,4.58471498116932,3.4528223446976627,3.2586718727216595
2006-12-05,3.5173712091669374,3.5576544419364744,2.8458612198010527,3.0543336538018906,4.4826445968399575,2.8458612198010522,3.0543336538018906,3.1733910853555574,3.1110290833229404,3.259508203538897,5.236147202090243,2.885559300393678,3.0572975258695196,1.0719199101017762,4.28216610512106,3.4528223446976627,3.0543336538018835
2006-12-06,3.526139831425092,3.860748374304938,3.0883140162044347,3.2229421082810497,4.864542951624221,3.0883140162044342,3.2229421082810497,3.3986395836764416,3.331851103175742,3.4007032468265086,5.6514988287161,3.1144531230626518,3.2248344898676233,1.0820307777122136,4.322557569228365,3.4528223446976627,3.2229421082810426
2006-12-07,3.2246655713276726,3.119035448973362,2.4949983682469608,2.8103338154322772,3.929984665706436,2.4949983682469603,2.8103338154322772,2.6630049629677703,2.610672831047491,2.9395771443702854,4.650321852165743,2.5627200597004047,2.8209979804535417,0.8755422580233795,3.497665586370995,3.4528223446976627,2.81033381543227
2006-12-08,3.134395570036982,3.3733516402978028,2.698432568580309,2.951807647102758,4.250423066775231,2.6984325685803086,2.951807647102758,2.905618199200524,2.8485183450789355,3.091657121139902,4.948525909885002,2.7270556788028317,2.9412820946342313,0.877912276899384,3.507133471428154,3.4528223446976627,2.9518076471027506
2006-12-09,2.9786500114041057,3.044614623779091,2.435467195722322,2.7689341733509725,3.836214425961655,2.4354671957223215,2.7689341733509725,2.7507657031718837,2.6967089381030935,2.994589193748835,4.4885123532349995,2.47354936099559,2.755730215843748,0.945141384932319,3.7757041034157828,3.4528223446976627,2.7689341733509654
2006-12-10,2.880190802627561,3.044802023637244,2.4356171017903834,2.7690384222226205,3.8364505497829273,2.4356171017903834,2.76903842222262,2.64675934179474,2.594746461247318,2.929393719389168,4.5049429936825245,2.482604031447913,2.7623577079267454,0.8002966494766519,3.19707018606034,3.4528223446976627,2.769038422222613
2006-12-11,2.876414822115021,3.2971724434770917,2.6374948284130406,2.9094298385500315,4.154437278781136,2.63749482841304,2.9094298385500315,2.7489514573322817,2.6949303449768487,2.993451949674994,4.858332615706501,2.6773515568969346,2.9049015685666992,0.6755481173551436,2.6987177150593977,3.4528223446976627,2.9094298385500243
2006-12-12,3.0584290674915624,3.5971343321581704,2.877442220816646,3.076295965027556,4.532389258519295,2.877442220816646,3.0762959650275565,2.9608267438951943,2.9026419571939575,3.126264112600974,5.277870226447529,2.9085522103192547,3.0741269984935315,0.6990457157072578,2.7925872460448034,3.4528223446976627,3.076295965027549
2006-12-13,3.182076815410052,3.815226931054392,3.051900218256822,3.1976189349263135,4.807185933128534,3.051900218256822,3.1976189349263135,3.145240599870984,3.083431798054095,3.241862318899527,5.588699877456157,3.079845597554056,3.1995037942307114,0.7398201052718083,2.9554750768471454,3.4528223446976627,3.1976189349263064
2006-12-14,3.0651062795842705,3.6004039512869244,2.880057675025003,3.0781148250216406,4.536508978621525,2.8800576750250024,3.0781148250216406,2.9084654921237147,2.851309684329135,3.093441921707006,5.280309381466517,2.9098963907210837,3.075110860359974,0.6381436160227657,2.54929210380337,3.4528223446976627,3.0781148250216335
2006-12-15,2.510517528112449,3.0210220942291706,2.4165949117445154,2.7558098593352427,3.806487838728755,2.4165949117445154,2.7558098593352427,2.4183480938851125,2.370823844686076,2.786216134293645,4.424221988152201,2.4381199405208718,2.729797940899261,0.3959284435735841,1.5816772737835991,3.4528223446976627,2.7558098593352356
2006-12-16,2.9069423973432205,3.344185472617484,2.6751017850862113,2.9355827678475697,4.21367369549803,2.6751017850862113,2.9355827678475697,2.696430640107873,2.643441642364981,2.9605297365779863,4.8834966867409815,2.6912190851399003,2.9150517926002433,0.4698026206172257,1.8767940021872713,3.4528223446976627,2.9355827678475626
2006-12-17,3.2818928979151427,3.9641220865714186,3.1710053634635353,3.280447983515252,4.994793829079987,3.171005363463535,3.280447983515252,3.305698869474834,3.2407368165565087,3.34244417623247,5.717299672336464,3.1507149447713108,3.251376034096605,0.849276577631874,3.392737965155555,3.4528223446976627,3.280447983515245
2006-12-18,3.031942168585412,3.558977234920945,2.846919356648734,3.055069511755115,4.484311316000391,2.846919356648734,3.055069511755115,2.995924298488826,2.9370497910087643,3.1482647065098286,5.156978407763459,2.8419306089238487,3.0253638614882137,0.8081860916859906,3.228587374703598,3.4528223446976627,3.055069511755108
2006-12-19,2.8935008004038685,3.407607948733485,2.7258350893427212,2.9708641263148863,4.293586015404191,2.725835089342721,2.9708641263148863,2.892895498272555,2.8360456647377106,3.083682007779986,4.930937095887173,2.7173627569166654,2.9341874396271903,0.7926185112604504,3.166397126524828,3.4528223446976627,2.970864126314879
2006-12-20,2.6964856638402543,3.1332666013478456,2.5063822407721346,2.8182504787206804,3.9479159176982854,2.506382240772134,2.81825047872068,2.6305237259146206,2.578829900120705,2.919216566138056,4.558538611114015,2.512139742796525,2.7839761306136124,0.7215641016562413,2.882544964101944,3.4528223446976627,2.818250478720673
2006-12-21,2.809618539653353,3.4467026118938664,2.757107937115074,2.992612139158119,4.342845290986272,2.757107937115074,2.992612139158119,2.7227935376673855,2.669286468553216,2.977055087423165,5.054955126723435,2.785707165216193,2.9842115710748485,0.459236020567063,1.8345819524298588,3.4528223446976627,2.992612139158112
2006-12-22,3.1577581611821497,3.829541777324947,3.0633510397274457,3.205582156383518,4.825222639429433,3.0633510397274453,3.205582156383518,2.985732418919387,2.9270581975047136,3.1418760162956145,5.644135925574476,3.110395541635275,3.221864576282402,0.4324291841823777,1.7274924907357232,3.4528223446976627,3.2055821563835107
2006-12-23,3.1272929557378912,3.730300991811373,2.983965729117586,3.150375391483983,4.70017924968233,2.983965729117586,3.150375391483983,2.9090730224453347,2.8519052757481322,3.0938227467544497,5.483026302247148,3.0216105334923578,3.1568791147292385,0.5701644918437332,2.277725265020023,3.4528223446976627,3.1503753914839754
