date,evap_original_mm,evap_candidate_mm
2009-11-26,3.2246094955831106,3.042920925120931
2009-11-27,3.464815036695624,2.9795879926146096
2009-11-28,3.497038054156977,3.1555109305411415
2009-11-29,3.208046517052128,3.108636769704668
2009-11-30,3.4373383657562697,3.2537769545497492
2009-12-01,3.2373274345826326,3.2554780542415394
2009-12-02,3.6416055361451134,3.4708828951952846
2009-12-03,3.419702303137369,3.295140531061847
2009-12-04,3.721372292282804,3.423705046140399
2009-12-05,2.5632202163607034,2.5321319772909705
2009-12-06,3.5875125661952416,3.4368231021443716
2009-12-07,3.5433735663317285,3.3283129711101433
2009-12-08,3.313029798364353,3.1682860506444643
2009-12-09,3.3068460321267925,3.3993091454636084
2009-12-10,3.260136940588418,3.1932125358948893
2009-12-11,3.5835433197024043,3.2812374477103057
2009-12-12,3.494147025208479,3.2274309780004264
2009-12-13,3.410264560521467,3.1947028246790605
2009-12-14,3.4147318912666824,3.0687228400217874
2009-12-15,2.9612420443094005,3.0787621719994385
2009-12-16,3.1520265440486925,3.2113289347327902
2009-12-17,2.8374015543718483,3.1126402145601064
2009-12-18,2.640137425743644,2.90489559024605
2009-12-19,2.846266811563414,2.726458075293606
2009-12-20,1.8787028165741808,1.743869534832997
2009-12-21,2.9969482681047857,2.4521942059047266
2009-12-22,3.7582693102339833,3.3016276183436495
2009-12-23,3.6839551242838384,3.1209909144496506
2009-12-24,3.871429953596349,3.008844483158787
2009-12-25,3.3848996731048486,2.753731390005103
2009-12-26,3.843920868477988,3.338191849928486
2009-12-27,3.316118329201105,3.1575912977305367
2009-12-28,3.261427684187072,2.8941662924586185
2009-12-29,3.227303308589739,2.968322957414232
2009-12-30,2.9727634390749,2.8775728978967456
2009-12-31,3.285654167138283,3.1680252619275326
2010-01-01,3.2129924517527453,3.156165677855608
2010-01-02,2.638369991953643,2.633011557701768
2010-01-03,3.1453281118635146,3.1660641235366005
2010-01-04,2.6624959631540253,2.588812077912558
2010-01-05,3.167533602463289,2.9589366546545417
2010-01-06,3.42090883632518,3.074637093345571
2010-01-07,3.1881516457473027,3.173413534013516
2010-01-08,3.0552943262685326,3.239880486280817
2010-01-09,2.902899579645021,2.913190890760135
2010-01-10,3.296593026821957,3.002577307386309
2010-01-11,3.804294071375915,3.305831398616419
2010-01-12,3.467163545483688,3.073508171149468
2010-01-13,3.550237039100909,3.3768829408268703
2010-01-14,3.1597148571131464,3.235939507203162
2010-01-15,2.9646173825624875,3.3788523379088184
2010-01-16,2.983145254438881,3.1894717093789917
2010-01-17,2.999973480188724,3.5252976221613874
2010-01-18,2.895720758336384,3.408509988393725
2010-01-19,2.9754646579330823,3.3771618198554876
2010-01-20,2.6790287064493823,3.137024635402281
2010-01-21,2.790167189712794,3.5229467698170915
2010-01-22,2.783852007150599,3.4435305942570666
2010-01-23,2.602000178459323,3.352906718459622
2010-01-24,2.919457717055829,3.6700116895252943
2010-01-25,2.51675782865792,3.16906985235898
2010-01-26,3.0395740453045224,3.4071025469634146
2010-01-27,2.5272876468341714,3.0042890672898572
2010-01-28,2.950059577477633,3.3536874624100403
2010-01-29,2.722134377558174,3.394563663684634
2010-01-30,2.575891836838698,3.1886636014601435
2010-01-31,1.9575672137900848,2.4742516206735505
2010-02-01,2.7666835443437816,3.46063878708146
2010-02-02,2.7380251664329656,3.4076250830236594
2010-02-03,2.7471541716217183,3.557263507820052
2010-02-04,2.783333881890743,3.636647404566578
2010-02-05,2.780828562662593,3.487329375120966
2010-02-06,2.507435435055408,3.415152724758336
2010-02-07,2.656771454762022,3.155479350122558
2010-02-08,3.3570356550426776,3.5339340362523184
2010-02-09,3.343093819200584,3.7094981082890652
2010-02-10,2.8806144849271047,3.3036265542141185
2010-02-11,2.883025821247242,3.34403563032421
