stable_z_m,predicted_z_m,residual_m,abs_residual_m,nearest_neighbor_m,n_neighbors
1552.479,1552.785476011667,0.30647601166697314,0.30647601166697314,28.284271247461902,7
1553.57,1553.8384593816645,0.2684593816645702,0.2684593816645702,20.0,5
1553.8068750000002,1553.710334172899,-0.09654082710130751,0.09654082710130751,20.0,4
1553.8068750000002,1553.7844196163762,-0.02245538362399202,0.02245538362399202,20.0,4
1553.924,1552.4790000000005,-1.4449999999994816,1.4449999999994816,20.0,8
1552.479,1553.1344573564263,0.6554573564262682,0.6554573564262682,20.0,8
1552.479,1553.5307272284558,1.0517272284557748,1.0517272284557748,40.0,8
1552.479,1552.7470653367131,0.26806533671310717,0.26806533671310717,20.0,8
1552.479,1552.9156028886862,0.4366028886861386,0.4366028886861386,20.0,8
1552.479,1552.9635880804565,0.4845880804564331,0.4845880804564331,20.0,8
1552.479,1553.248027638066,0.7690276380660634,0.7690276380660634,20.0,8
1552.479,1552.7886935626707,0.3096935626706454,0.3096935626706454,20.0,8
1552.479,1552.6270250055936,0.14802500559358123,0.14802500559358123,20.0,8
1552.479,1552.6304660262426,0.15146602624258776,0.15146602624258776,20.0,8
1552.479,1552.6011278914114,0.12212789141130997,0.12212789141130997,20.0,8
1552.479,1552.6280795487394,0.14907954873933704,0.14907954873933704,20.0,8
1552.479,1552.8912147684603,0.4122147684602169,0.4122147684602169,44.721359549995796,7
1553.98125,1552.8047425342627,-1.1765074657373589,1.1765074657373589,63.245553203367585,6
1553.924,1552.8244617599005,-1.0995382400994913,1.0995382400994913,44.721359549995796,7
1552.479,1552.5452409766397,0.06624097663961948,0.06624097663961948,28.284271247461902,8
1552.479,1552.5537598855433,0.07475988554324431,0.07475988554324431,20.0,8
1552.479,1552.5565511798861,0.07755117988608617,0.07755117988608617,20.0,8
1552.479,1552.5417928505829,0.06279285058280948,0.06279285058280948,20.0,8
1552.479,1552.5329475346389,0.05394753463883717,0.05394753463883717,20.0,8
1552.479,1552.968982779394,0.48998277939404034,0.48998277939404034,44.721359549995796,4
1553.924,1552.4790000000003,-1.444999999999709,1.444999999999709,20.0,4
1552.479,1552.4790000000003,2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.479,0.0,0.0,20.0,8
1552.479,1553.668094062779,1.1890940627788495,1.1890940627788495,20.0,4
1552.479,1553.205045414787,0.726045414786995,0.726045414786995,44.721359549995796,8
1553.98125,1552.6984259724204,-1.282824027579636,1.282824027579636,44.721359549995796,8
1552.479,1552.4790000000003,2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.4789999999998,-2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.7621829518996,0.2831829518995619,0.2831829518995619,28.284271247461902,8
1552.479,1552.5423110746838,0.06331107468372466,0.06331107468372466,20.0,8
1552.479,1552.5188211198806,0.03982111988057113,0.03982111988057113,20.0,8
1552.479,1552.4790000000003,2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.4789999999998,-2.2737367544323206e-13,2.2737367544323206e-13,20.0,8
1552.479,1552.5843125204972,0.10531252049713657,0.10531252049713657,20.0,8
1553.924,1552.8486619114476,-1.0753380885523711,1.0753380885523711,28.284271247461902,8
1552.479,1552.479,0.0,0.0,20.0,8
1552.479,1552.5398986434561,0.060898643456084756,0.060898643456084756,20.0,8
1552.479,1552.7827442251166,0.3037442251165885,0.3037442251165885,20.0,8
1553.98125,1553.1038196968764,-0.8774303031236741,0.8774303031236741,28.284271247461902,8
1552.479,1553.0003195163004,0.5213195163003093,0.5213195163003093,44.721359549995796,8
1552.479,1552.5962211109443,0.11722111094422871,0.11722111094422871,20.0,8
1552.479,1553.2067247181249,0.7277247181248185,0.7277247181248185,28.284271247461902,8
1553.924,1552.8608492551828,-1.0631507448172215,1.0631507448172215,28.284271247461902,8
1553.98125,1553.5412991456521,-0.4399508543478987,0.4399508543478987,20.0,8
1553.73,1553.6906029098195,-0.03939709018050053,0.03939709018050053,20.0,8
1553.924,1552.820077337319,-1.1039226626810432,1.1039226626810432,28.284271247461902,8
1552.479,1552.8771025541892,0.39810255418910856,0.39810255418910856,20.0,8
1553.6950000000002,1553.4496261136692,-0.2453738863309809,0.2453738863309809,20.0,8
1552.479,1552.8107111931165,0.3317111931164618,0.3317111931164618,20.0,8
1552.479,1552.6783970133035,0.19939701330349635,0.19939701330349635,20.0,8
1552.479,1553.268646499829,0.7896464998289048,0.7896464998289048,28.284271247461902,8
1553.98125,1553.2638032611178,-0.717446738882245,0.717446738882245,28.284271247461902,8
1552.479,1552.5605476464616,0.08154764646155854,0.08154764646155854,20.0,8
1552.479,1552.5754300133415,0.09643001334143264,0.09643001334143264,20.0,8
1552.479,1553.12449585066,0.6454958506599269,0.6454958506599269,20.0,8
1553.66125,1553.4716400361956,-0.18960996380451434,0.18960996380451434,20.0,8
1552.479,1552.594240088059,0.11524008805895392,0.11524008805895392,20.0,8
1552.479,1552.5527055145164,0.07370551451640495,0.07370551451640495,20.0,8
1552.479,1552.5287990010459,0.049799001045812474,0.049799001045812474,20.0,8
1552.479,1553.0459372524724,0.5669372524723713,0.5669372524723713,20.0,8
1553.62,1553.496603586836,-0.12339641316384586,0.12339641316384586,20.0,8
1553.8691666666666,1552.5049111676772,-1.3642554989894506,1.3642554989894506,20.0,8
1553.924,1553.6121929697501,-0.31180703024983814,0.31180703024983814,20.0,8
1553.6950000000002,1553.7548918687771,0.05989186877695829,0.05989186877695829,20.0,8
1552.479,1553.0696235735054,0.5906235735053542,0.5906235735053542,20.0,7
1553.6950000000002,1553.6772787028149,-0.017721297185289586,0.017721297185289586,20.0,8
1553.924,1553.609182448141,-0.3148175518590506,0.3148175518590506,20.0,8
1553.924,1552.8342664964166,-1.0897335035833748,1.0897335035833748,44.721359549995796,8
1552.479,1552.7133398223611,0.2343398223611075,0.2343398223611075,20.0,7
1553.924,1553.4781014374344,-0.4458985625656169,0.4458985625656169,20.0,8
1553.3400000000001,1553.7797536323587,0.4397536323585882,0.4397536323585882,20.0,8
1553.924,1552.6376180181537,-1.2863819818462616,1.2863819818462616,20.0,8
1552.479,1553.5910511772174,1.1120511772173813,1.1120511772173813,40.0,8
1553.98125,1553.4189899724395,-0.5622600275605691,0.5622600275605691,20.0,8
1554.0349999999999,1552.895874223596,-1.1391257764039437,1.1391257764039437,40.0,8
1554.0349999999999,1553.443987531162,-0.5910124688377891,0.5910124688377891,20.0,8
1554.0349999999999,1553.4116839715678,-0.6233160284321002,0.6233160284321002,20.0,8
1552.479,1553.0828886807337,0.6038886807336894,0.6038886807336894,20.0,8
