model,n,obs_mean,sim_mean,bias,relative_bias_pct,mae,rmse,pearson_r,variable,obs_column,cmip_column,obs_trend_per_decade,cmip_trend_per_decade,trend_difference_per_decade
CanESM5,12418,20.360605624004958,23.137340004352975,2.776734380348017,13.637778912992026,2.905230333678268,3.344011141515833,0.28136796377458523,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.5389891893864996,0.38327666122928306
CanESM5,12418,78.48741874049715,81.04368745157545,2.556268711078304,3.2569152510035932,7.103315781840734,9.02385483635553,0.6035437593430977,rh,rh_derived_pct,rh_pct,-0.45331520094804933,-0.4344837778722615,0.018831423075787834
CanESM5,12418,18.958588617734225,20.804670620464663,1.8460820027304399,9.737444278966946,3.141503465630369,4.14902498169477,0.32149253118579263,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,0.10974805740527087,0.11262197596083409
CanESM5,12418,31.14497811398399,28.33725008004121,-2.8077280339427766,-9.015026511391628,2.8714383299301156,3.1247745501830755,0.4560335264821373,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.07847725865452584,0.021838052919579423
CanESM5,12418,0.8453482250675511,2.764941192991315,1.9195929679237635,227.0771867735773,1.929366739993551,2.311044707280863,0.14393208848603922,wind,wind_ms,sfcWind_ms,0.013394066583884399,-0.03156059731306607,-0.044954663896950464
EC-Earth3,12418,6.079980339721177,6.830655705366219,0.7506753656450424,12.346674227559555,6.041295752783267,9.687860974321739,0.3326277306971333,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,15.919572349787321,-70.63077045190403
EC-Earth3,12418,4.328760014802917,6.830655705366219,2.5018956905633023,57.79705232000972,6.014183906425358,9.697039916161252,0.29851516379788506,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,15.919572349787321,-63.65553675253934
EC-Earth3,12418,5.204370177262047,6.830655705366219,1.6262855281041722,31.248459904128886,5.639456468012707,8.956741368078603,0.3588992971379935,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,15.919572349787321,-67.14315360222163
EC-Earth3,12418,16.271866007186908,17.70767997560402,1.4358139684171056,8.82390481695793,1.7544150994316567,2.116481599592491,0.3519884277497859,tas,tmean_c,tas_c,0.1007013019605791,0.572246432763397,0.47154513080281796
EC-Earth3,12418,13.446130142796218,12.287195353137804,-1.158934789658411,-8.619095437502603,1.804649601630497,2.4125743692898074,0.4085287517027561,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.6907160563950869,0.6117923637582773
EC-Earth3,12418,20.360605624004958,23.128164700118056,2.767559076113101,13.592714908490617,2.9245380740118088,3.425423776644304,0.25834109698833346,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.4537767922362781,0.2980642640790615
EC-Earth3,12418,78.48741874049715,81.02438452121669,2.536965780719544,3.2323215891549584,6.9572506389018915,8.779630034589887,0.6155566373968029,rh,rh_derived_pct,rh_pct,-0.45331520094804933,-0.038348391703080825,0.41496680924496854
EC-Earth3,12418,18.958588617734225,20.837233948331207,1.8786453305969832,9.909204574646777,3.3167898021987217,4.342734645615857,0.28949024835141823,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,0.02673846598801234,0.029612384543575565
EC-Earth3,12418,31.14497811398399,28.40930615789,-2.7356719560939893,-8.783669540822961,2.807692375220878,3.0810961015451994,0.4191283769313576,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.1860000314114002,0.1293608256764538
EC-Earth3,12418,0.8453482250675511,2.7657634817548056,1.920415256687255,227.17445896734404,1.932657153960383,2.2800140446560944,0.15720576628779034,wind,wind_ms,sfcWind_ms,0.013394066583884399,-0.0365154856876955,-0.04990955227157989
GFDL-ESM4,12418,6.079980339721177,6.560820871787939,0.48084053206676186,7.908586955871848,6.171213443877635,9.960138432400049,0.31026580753358474,precip_vs_era5,era_precip_mm,pr_mm_day,86.55034280169134,-15.057937791976935,-101.60828059366828
GFDL-ESM4,12418,4.328760014802917,6.560820871787939,2.2320608569850218,51.563515864869316,6.062137106526888,9.914488071719049,0.27595718631733784,precip_vs_chirps,chirps_precip_mm,pr_mm_day,79.57510910232666,-15.057937791976935,-94.6330468943036
GFDL-ESM4,12418,5.204370177262047,6.560820871787939,1.3564506945258918,26.063685870237297,5.7581557218397235,9.221188366819165,0.3334563691439003,precip_vs_consensus,precip_consensus_mm,pr_mm_day,83.06272595200895,-15.057937791976935,-98.12066374398589
GFDL-ESM4,12418,16.271866007186908,17.527789578389488,1.2559235712025751,7.718374589907898,1.693672429200991,2.063185361066037,0.30027945541705475,tas,tmean_c,tas_c,0.1007013019605791,0.30035478271594174,0.19965348075536266
GFDL-ESM4,12418,13.446130142796218,11.977925420453165,-1.4682047223430519,-10.919161920574185,1.989651664566874,2.6453421459146256,0.3940372835108018,tasmin,tmin_c,tasmin_c,0.07892369263680964,0.34340699551696596,0.2644833028801563
GFDL-ESM4,12418,20.360605624004958,23.077653638185854,2.7170480141808975,13.344632592743332,2.905798508547216,3.4299325998329357,0.22916974683003338,tasmax,tmax_c,tasmax_c,0.15571252815721662,0.2573024302918179,0.10158990213460126
GFDL-ESM4,12418,78.48741874049715,80.6539643248235,2.1665455843263532,2.7603730879334942,7.195707804785872,9.13404483626713,0.5930583912379489,rh,rh_derived_pct,rh_pct,-0.45331520094804933,-0.018512698852114765,0.4348025020959346
GFDL-ESM4,12418,18.958588617734225,20.824456639857477,1.8658680221232535,9.841808690220141,3.3128219043253426,4.339905851327346,0.2796612516828447,shortwave,solar_mj_m2,rsds_mj_m2_day,-0.002873918555563225,-0.07340235153150614,-0.07052843297594291
GFDL-ESM4,12418,31.14497811398399,28.304564974410287,-2.8404131395737022,-9.119971538199175,2.9109235266303832,3.187220073678702,0.40586870883344395,longwave,longwave_mj_m2,rlds_mj_m2_day,0.05663920573494642,0.09701009206886367,0.04037088633391725
GFDL-ESM4,12418,0.8453482250675511,2.8395592134827594,1.9942109884152086,235.90408417263225,2.011625424723889,2.460652059427252,0.12704875529745624,wind,wind_ms,sfcWind_ms,0.013394066583884399,0.0398579656048202,0.026463899020935804
