model,variable,quantile,obs_value,cmip_value,difference,relative_difference_pct
CMCC-ESM2,rh,0.9,91.60414646206316,91.15141842117727,-0.45272804088588714,-0.49422221413675793
CMCC-ESM2,rh,0.95,93.54094944239945,92.72144842304168,-0.819501019357773,-0.87608798525442
CMCC-ESM2,rh,0.99,96.10186713446025,95.32590661304243,-0.7759605214178151,-0.8074354271724351
CMCC-ESM2,shortwave,0.01,8.123637298959586,15.478746206951204,7.355108907991617,90.53960236424642
CMCC-ESM2,shortwave,0.05,12.362643611951848,16.923199747534582,4.560556135582734,36.88981320446478
CMCC-ESM2,shortwave,0.1,14.294086126913156,17.72662973961002,3.432543612696863,24.013732547994163
CMCC-ESM2,shortwave,0.25,16.740133504729148,19.048615021452356,2.3084815167232087,13.790102188080246
CMCC-ESM2,shortwave,0.5,19.14489942046432,20.62705812588051,1.4821587054161895,7.741794160756384
CMCC-ESM2,shortwave,0.75,21.47965527773001,22.44716294785797,0.9675076701279579,4.504297939693029
CMCC-ESM2,shortwave,0.9,23.61945787306535,24.064266053406765,0.4448081803414148,1.8832277300007616
CMCC-ESM2,shortwave,0.95,24.823127847501073,25.044637564837345,0.22150971733627145,0.8923521592327079
CMCC-ESM2,shortwave,0.99,26.853095109922613,26.504548232389862,-0.34854687753275115,-1.2979765502113683
CMCC-ESM2,longwave,0.01,26.889406656990545,25.28356069090996,-1.605845966080583,-5.972039422681366
CMCC-ESM2,longwave,0.05,28.27366862738607,26.35813762999488,-1.9155309973911905,-6.7749644470820245
CMCC-ESM2,longwave,0.1,29.013446756577814,26.865674090836325,-2.1477726657414884,-7.402680156415934
CMCC-ESM2,longwave,0.25,30.238961359415303,27.731825986168037,-2.507135373247266,-8.29107634831722
CMCC-ESM2,longwave,0.5,31.45313495571797,28.555178481205175,-2.897956474512796,-9.213569580878827
CMCC-ESM2,longwave,0.75,32.26054012532244,29.087220251664963,-3.17331987365748,-9.836536714295828
CMCC-ESM2,longwave,0.9,32.80311042321582,29.467941436187246,-3.335168987028574,-10.167233972630129
CMCC-ESM2,longwave,0.95,33.08532702089423,29.67941284291752,-3.4059141779767117,-10.294334330822208
CMCC-ESM2,longwave,0.99,33.60379732077386,30.035017347320053,-3.568779973453804,-10.620168724942241
CMCC-ESM2,wind,0.01,0.12362079876653172,0.9265282770486477,0.802907478282116,649.4922264646375
CMCC-ESM2,wind,0.05,0.21661594904492043,1.175305549205978,0.9586896001610576,442.57572186536026
CMCC-ESM2,wind,0.1,0.28935312804449365,1.3583558059780974,1.0690026779336037,369.4456960455682
CMCC-ESM2,wind,0.25,0.4523419982740058,1.7628776040233547,1.310535605749349,289.7222921484052
CMCC-ESM2,wind,0.5,0.7499348093163911,2.4486632672815376,1.6987284579651465,226.51681677686565
CMCC-ESM2,wind,0.75,1.1569305560826137,3.4864970680143013,2.3295665119316875,201.35750583160657
CMCC-ESM2,wind,0.9,1.5341475522071901,4.809346977869671,3.275199425662481,213.4865985315706
CMCC-ESM2,wind,0.95,1.7712679477171462,5.7656990345709955,3.994431086853849,225.51252575884808
CMCC-ESM2,wind,0.99,2.290385645051189,7.4935812869098015,5.2031956418586125,227.1755262307507
CNRM-CM6-1,precip_consensus,0.01,0.001364441540446398,0.0,-0.001364441540446398,-100.0
CNRM-CM6-1,precip_consensus,0.05,0.020303170461220998,0.0,-0.020303170461220998,-99.99999999999999
CNRM-CM6-1,precip_consensus,0.1,0.06654387951424576,0.0,-0.06654387951424576,-100.0
CNRM-CM6-1,precip_consensus,0.25,0.36593424518266227,0.1504231626611607,-0.21551108252150156,-58.89339009906699
CNRM-CM6-1,precip_consensus,0.5,2.2381017066336617,2.4688579877323207,0.23075628109865898,10.310357228838383
CNRM-CM6-1,precip_consensus,0.75,8.251458253782918,11.837344768754834,3.585886514971916,43.457609608919135
CNRM-CM6-1,precip_consensus,0.9,14.360511428963337,19.40771079355026,5.047199364586925,35.146376154872605
CNRM-CM6-1,precip_consensus,0.95,18.3865296573891,23.73636957067141,5.34983991328231,29.096518010577046
CNRM-CM6-1,precip_consensus,0.99,27.626554028149616,34.007607897285546,6.381053869135929,23.09753819688862
CNRM-CM6-1,tas,0.01,13.562005271069761,12.879787200760994,-0.6822180703087675,-5.030362816360671
CNRM-CM6-1,tas,0.05,14.648812302124492,14.74480312326569,0.09599082114119817,0.6552805726596469
CNRM-CM6-1,tas,0.1,15.102207967988353,15.612745908309877,0.5105379403215249,3.380551647836496
CNRM-CM6-1,tas,0.25,15.737775453943096,16.757667274683577,1.0198918207404812,6.480533565402649
CNRM-CM6-1,tas,0.5,16.308847934518468,17.56132455627777,1.2524766217593033,7.679736954983655
CNRM-CM6-1,tas,0.75,16.865925052617698,18.307164451724216,1.441239399106518,8.54527335210012
