model,scenario,horizon,level_mean_m,level_end_m,change_mean_vs_anchor_m,change_end_vs_anchor_m,cum_P_end_m,cum_E_end_m,cum_Q_end_m,cum_S_end_m
CNRM-ESM2-1,ssp585,2030,1551.5393891720944,1551.4068726796954,-1.2306108279055934,-1.3631273203045566,-0.8768691070475481,0.002737329045190787,-0.6214126547040542,0.13241711240192763
CNRM-ESM2-1,ssp585,2050,1547.8810348560216,1547.677039781825,-4.888965143978339,-5.092960218174994,-2.3644852916203547,0.34023432229878786,-3.201126361255439,0.13241711240194207
CNRM-ESM2-1,ssp585,2090,1550.0687507486855,1550.7063295763196,-2.7012492513144934,-2.063670423680378,2.4505656401492866,4.058887380233383,-8.705540556464962,0.13241711240197093
CanESM5,ssp245,2030,1553.4371052556307,1553.7575178701136,0.6671052556307586,0.9875178701136065,1.0918982536744568,0.23362881473518063,-0.4704263106979641,0.13241711240192763
CanESM5,ssp245,2050,1550.8034556541538,1550.5787479749065,-1.9665443458461596,-2.1912520250934904,0.22117612173633436,0.7720214703494777,-3.3168667295813026,0.13241711240194207
CanESM5,ssp245,2090,1542.4939926900527,1542.5446138072668,-10.276007309947317,-10.22538619273314,-3.5603957725225266,3.0328749903664307,-9.830282522978887,0.13241711240197093
CanESM5,ssp585,2030,1552.3886036280794,1552.241976320227,-0.3813963719205731,-0.528023679773014,-0.05500814868504163,0.05998109270398983,-0.6654137361939344,0.13241711240192763
CanESM5,ssp585,2050,1548.1106659264233,1548.154083191957,-4.6593340735767015,-4.615916808043039,-1.7335608018258697,0.7087995347878376,-3.7235726534068476,0.13241711240194207
CanESM5,ssp585,2090,1523.8086115189242,1523.2887274955997,-28.9613884810758,-29.481272504400295,-21.727761031526153,4.670172625754659,-12.556101211031011,0.13241711240197093
EC-Earth3,ssp245,2030,1553.706700610822,1553.5836553347106,0.9367006108220721,0.8136553347105746,0.8653290959153673,0.01382565256469114,-0.19791652617143451,0.13241711240192763
EC-Earth3,ssp245,2050,1551.639460271362,1552.0726693213132,-1.1305397286380412,-0.6973306786867397,1.012598390469547,0.17890662151889125,-2.0212528030771066,0.13241711240194207
EC-Earth3,ssp245,2090,1543.8244658687008,1543.9105677735174,-8.945534131299155,-8.859432226482568,-2.6002623093944477,0.6054992785672763,-6.9970863080573045,0.13241711240197093
