scenario,year,quantile,absolute_level_m,reference,H0_m,relative_level_m,wet_pixels,area_km2,volume_km3,mean_water_depth_m,area_pct_reference,volume_pct_reference,exposed_area_vs_reference_km2,storage_loss_vs_reference_km3,area_change_vs_current_sentinel_km2
ssp585,2050,p50,1548.1447400878528,area_anchored_2026,1555.3395226,-7.194782512147185,2163793,120.6807947278825,24.439422893612676,202.51294291457054,95.35736210310422,96.54064852893728,5.875552958620787,0.8757404764439869,-1.342405272117503
ssp585,2050,p95,1552.8101514045268,temporal_2014_median,1557.56,-4.749848595473168,2176888,121.4111395468932,24.73531669109332,203.7318551115294,95.9344527290283,97.70948869463274,5.145208139610091,0.5798466789633423,-0.6120604531068068
ssp585,2050,p95,1552.8101514045268,temporal_2014_min,1557.31,-4.499848595473168,2178131,121.48046513757897,24.765677957018585,203.86551804004847,95.98923116721262,97.82942181724957,5.075882548924312,0.5494854130380773,-0.5427348624210282
ssp585,2050,p95,1552.8101514045268,temporal_2014_max,1558.09,-5.2798485954731404,2173262,121.20890737325955,24.6710232662562,203.54133867639322,95.7746565770924,97.45551670204756,5.347440313243737,0.6441401038004635,-0.8142926267404533
ssp585,2050,p95,1552.8101514045268,area_anchored_2026,1555.3395226,-2.5293711954732316,2188068,122.03467945346361,25.005598378738622,204.905675097661,96.42715018590735,98.77715586191239,4.5216682330396765,0.30956499131804094,0.01147945346360757
ssp585,2090,p05,1511.9267681902936,temporal_2014_median,1557.56,-45.63323180970633,1976756,110.2492174912804,20.00522760919996,181.45459953747218,87.11472755549346,79.02468302006926,16.307130195222882,5.309935760856703,-11.773982508719598
ssp585,2090,p05,1511.9267681902936,temporal_2014_min,1557.31,-45.38323180970633,1977969,110.3168698979593,20.03279824859415,181.59324378151823,87.16818390747866,79.13359260517113,16.239477788543994,5.282365121462512,-11.70633010204071
ssp585,2090,p05,1511.9267681902936,temporal_2014_max,1558.09,-46.1632318097063,1974162,110.10454284748401,19.946833975796224,181.1626792132131,87.00041116880793,78.79401639331225,16.451804839019275,5.368329394260439,-11.91865715251599
ssp585,2090,p05,1511.9267681902936,area_anchored_2026,1555.3395226,-43.412754409706395,1987728,110.86115665540301,20.25072270499095,182.66743118996672,87.59825854805851,79.99443815142016,15.69519103110028,5.064440665065714,-11.162043344596995
ssp585,2090,p50,1530.1243554409712,temporal_2014_median,1557.56,-27.435644559028788,2061953,115.00089275246825,22.05544444042729,191.78498455573006,90.86932015242773,87.12345292037483,11.55545493403504,3.259718929629372,-7.0223072475317565
ssp585,2090,p50,1530.1243554409712,temporal_2014_min,1557.31,-27.185644559028788,2063129,115.06648156553861,22.084203001135215,191.92559553979825,90.92114593143397,87.23705503420491,11.489866120964678,3.2309603689214477,-6.9567184344613935
ssp585,2090,p50,1530.1243554409712,temporal_2014_max,1558.09,-27.96564455902876,2059556,114.86720535031714,21.994528973809615,191.47788010278157,90.76368546511654,86.8828245439065,11.689142336186151,3.3206343962470477,-7.155994649682867
ssp585,2090,p50,1530.1243554409712,area_anchored_2026,1555.3395226,-25.21516715902885,2072323,115.57925669085243,22.311445029113365,193.04021904891877,91.32632128193005,88.13470686704649,10.977090995650855,3.0037183409432977,-6.443943309147571
ssp585,2090,p95,1554.5059061772022,temporal_2014_median,1557.56,-3.0540938227977676,2185444,121.88833162566033,24.941602948493664,204.6266661938859,96.31151171302268,98.52436100805554,4.668016060842959,0.37356042156299907,-0.1348683743396748
ssp585,2090,p95,1554.5059061772022,temporal_2014_min,1557.31,-2.8040938227977676,2186675,121.95698794274334,24.97208357985682,204.76139990912841,96.36576131672734,98.64476564822155,4.599359743759948,0.34307979019984103,-0.06621205725666357
